Avatar,Action,12 18 1918,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,20th Century Fox
Coco,Animation,11 22 2017,"Aspiring musician Miguel,confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,Disney
Guardians of the Galaxy,Action,07 30 2014,"Light years from Earth,26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",James Gunn,Marvel Studios
Harry Potter and the Deathly Hallows: Part 2,Adventure,07 15 2011,"Harry,Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,Warner Bros.
Harry Potter and the Goblet of Fire,Adventure,11 18 2005,Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.,Mike Newell,Warner Bros.
Harry Potter and the Half-Blood Prince,Adventure,07 15 2009,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as the property of the Half-Blood Prince and begins to learn more about Lord Voldemort's dark past.",David Yates,Warner Bros.
Harry Potter and the Order of the Phoenix,Adventure,07 11 2007,"With their warning about Lord Voldemort's return scoffed at ,Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates,Warner Bros.
Inception,Action,07 16 2010,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,Christopher Nolan,Warner Bros.
Interstellar,Adventure,11 7 2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,Warner Bros.
Joker,Drama,10 4 2019,"Forever alone in a crowd, failed comedian Arthur Fleck seeks connection as he walks the streets of Gotham City. Arthur wears two masks -- the one he paints for his day job as a clown, and the guise he projects in a futile attempt to feel like he's part of the world around him.",Todd Phillips,Warner Bros.
Jumanji: Welcome to the Jungle,Action,12 20 2017,Four teenagers discover an old video game console and are literally drawn into the game's jungle setting becoming the adult avatars they chose.,Jake Kasdan,Sony Pictures
